hq_id,original_file,identity,split,image_path
0,119614.jpg,7423,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\0.jpg
1,099095.jpg,7319,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\1.jpg
2,200122.jpg,6632,test,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\2.jpg
3,081060.jpg,3338,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\3.jpg
4,202041.jpg,9178,test,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\4.jpg
5,000615.jpg,6461,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\5.jpg
6,050916.jpg,1725,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\6.jpg
7,166546.jpg,774,val,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\7.jpg
8,143862.jpg,5866,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\8.jpg
9,101742.jpg,7556,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\9.jpg
10,157746.jpg,5569,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\10.jpg
11,078316.jpg,4286,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\11.jpg
12,167420.jpg,678,val,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\12.jpg
13,167707.jpg,678,val,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\13.jpg
14,055526.jpg,4255,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\14.jpg
15,089616.jpg,3151,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\15.jpg
16,034959.jpg,8564,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\16.jpg
17,174482.jpg,2283,val,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\17.jpg
18,154922.jpg,6282,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\18.jpg
