hq_id,original_file,identity,split,image_path,source_sha256
0,119614.jpg,7423,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\0.jpg,92583489fae83d937ed33b51459e41bf52104b87b4214ea9390512d860c88c2d
1,099095.jpg,7319,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\1.jpg,18b35dd98b31c0390f04d6bbc0ddaaec6432474679ac0b8454afb7343ecb779d
2,200122.jpg,6632,test,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\2.jpg,b764542cc120974f53fe5aae9d2eb870986be3e370c37d4fa5907dac3dc0c88b
3,081060.jpg,3338,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\3.jpg,3bdef2e7880e0e2570884a01d79ac00627c294e90c9a282b84a79e1433c4723a
4,202041.jpg,9178,test,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\4.jpg,cda5d71ff5729f21492efadb6f4d574624de9b6ce7ddbea7800708189306efe6
5,000615.jpg,6461,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\5.jpg,6ebd6cb49831ddb217d8b17a2fb96ecf599d55c764db27701123698ba47d3a38
6,050916.jpg,1725,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\6.jpg,0d6a4c7271e62e23585875fac32fd4ba00c4665c1ad49ecca87615282f8a18a1
7,166546.jpg,774,val,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\7.jpg,a79ca087673ceb05f7298c5fc777245d1204abe7f27fcfa48433a7b165808a21
8,143862.jpg,5866,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\8.jpg,61b6dbc1a30b86129e0a593d5401713d18d016e6e132a1f39a9b68a489a3b94d
9,101742.jpg,7556,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\9.jpg,93c46cafd6a9739b73a8c6c476689cbcde5be5b7fae2d120c5f11d28b64aef42
10,157746.jpg,5569,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\10.jpg,ea7d388a47a718073c5940e8efd00b02e342fb041f48dad3f9a2d53aefb382f5
11,078316.jpg,4286,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\11.jpg,8479c7f0547cf23c456752ed239bb435f6d2a10ed38f032498f6e441ffbde103
12,167420.jpg,678,val,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\12.jpg,9a63f002b6f5d3ec4f310d72085dfbf20699d7bc21806aa1acc69997bccb9d90
13,167707.jpg,678,val,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\13.jpg,a81c5e3f2f720e05686b39aa35620dbe551ec3dc2938d9a082dc4c39ba450e3f
