import time: self [us] | cumulative | imported package
import time:        92 |         92 | winreg
import time:       186 |        186 |   _io
import time:        30 |         30 |   marshal
import time:       130 |        130 |   nt
import time:       259 |        604 | _frozen_importlib_external
import time:       420 |        420 |   time
import time:        81 |        501 | zipimport
import time:        55 |         55 |     _codecs
import time:       298 |        352 |   codecs
import time:      1663 |       1663 |   encodings.aliases
import time:      2128 |       4142 | encodings
import time:       854 |        854 | encodings.utf_8
import time:       866 |        866 | encodings.cp1252
import time:        44 |         44 | _signal
import time:        27 |         27 |     _abc
import time:       104 |        131 |   abc
import time:       132 |        263 | io
import time:        41 |         41 |       _stat
import time:        60 |        101 |     stat
import time:       799 |        799 |     _collections_abc
import time:        46 |         46 |       genericpath
import time:        90 |         90 |       _winapi
import time:       151 |        287 |     ntpath
import time:       236 |       1422 |   os
import time:        67 |         67 |   _sitebuiltins
import time:       693 |        693 |   encodings.utf_8_sig
import time:      1526 |       1526 |   sitecustomize
import time:      1371 |       5076 | site
import time:      1491 |       1491 |         types
import time:       141 |        141 |           _operator
import time:      1722 |       1863 |         operator
import time:       114 |        114 |             itertools
import time:      1530 |       1530 |             keyword
import time:      1210 |       1210 |             reprlib
import time:       126 |        126 |             _collections
import time:      2359 |       5337 |           collections
import time:        79 |         79 |           _functools
import time:      1905 |       7320 |         functools
import time:      3853 |      14525 |       enum
import time:        70 |         70 |         _sre
import time:       703 |        703 |           re._constants
import time:       756 |       1459 |         re._parser
import time:       489 |        489 |         re._casefix
import time:      1339 |       3355 |       re._compiler
import time:       903 |        903 |       copyreg
import time:      1746 |      20527 |     re
import time:      1109 |       1109 |     warnings
import time:      1337 |       1337 |     gettext
import time:      1747 |      24719 |   argparse
import time:      8081 |       8081 |     _hashlib
import time:       120 |        120 |     _blake2
import time:      1176 |       9376 |   hashlib
import time:        68 |         68 |         _json
import time:       812 |        880 |       json.scanner
import time:      1193 |       2072 |     json.decoder
import time:      1477 |       1477 |     json.encoder
import time:      1539 |       5087 |   json
import time:       738 |        738 |         posix
import time:        72 |        810 |       posixpath
import time:       926 |       1735 |     fnmatch
import time:        69 |         69 |     errno
import time:       960 |        960 |       urllib
import time:        81 |         81 |       math
import time:      1794 |       1794 |       ipaddress
import time:      1754 |       4587 |     urllib.parse
import time:      1577 |       7967 |   pathlib
import time:      1172 |       1172 |     importlib
import time:       713 |        713 |       numpy.version
import time:       603 |        603 |       numpy._expired_attrs_2_0
import time:       984 |        984 |           numpy._utils._conversions
import time:       665 |       1648 |         numpy._utils
import time:      1075 |       2722 |       numpy._globals
import time:       127 |        127 |         numpy._distributor_init_local
import time:       648 |        775 |       numpy._distributor_init
import time:       203 |        203 |                   _datetime
import time:      1584 |       1787 |                 datetime
import time:      1117 |       1117 |                 numpy.exceptions
import time:       974 |        974 |                 numpy._core._exceptions
import time:        43 |         43 |                     _contextvars
import time:      1617 |       1659 |                   contextvars
import time:       761 |       2419 |                 numpy._core.printoptions
import time:      1093 |       1093 |                 numpy.dtypes
import time:      7789 |      15178 |               numpy._core._multiarray_umath
import time:        92 |         92 |                     _ast
import time:      1648 |       1648 |                     contextlib
import time:      2730 |       4469 |                   ast
import time:        58 |         58 |                       _opcode
import time:      1614 |       1671 |                     opcode
import time:      2043 |       3713 |                   dis
import time:      1250 |       1250 |                   collections.abc
import time:        56 |         56 |                   importlib.machinery
import time:       886 |        886 |                       token
import time:        48 |         48 |                       _tokenize
import time:      1573 |       2505 |                     tokenize
import time:       864 |       3368 |                   linecache
import time:       998 |        998 |                     _weakrefset
import time:      1318 |       2316 |                   weakref
import time:      4141 |      19311 |                 inspect
import time:       576 |        576 |                 numpy._utils._inspect
import time:      1138 |      21024 |               numpy._core.overrides
import time:      1966 |      38167 |             numpy._core.multiarray
import time:       635 |        635 |             numpy._core.umath
import time:      1188 |       1188 |               numbers
import time:       462 |        462 |               numpy._core._string_helpers
import time:       623 |        623 |               numpy._core._type_aliases
import time:       628 |       2899 |             numpy._core.numerictypes
import time:        77 |         77 |                           _struct
import time:       884 |        961 |                         struct
import time:      1605 |       1605 |                         _compat_pickle
import time:       110 |        110 |                         _pickle
import time:      1431 |       4105 |                       pickle
import time:       621 |       4725 |                     numpy._core._methods
import time:      1307 |       6032 |                   numpy._core.fromnumeric
import time:       738 |       6769 |                 numpy._core.shape_base
import time:       886 |        886 |                 numpy._core._ufunc_config
import time:       824 |        824 |                 numpy._core._asarray
import time:      1087 |       1087 |                 numpy._core.arrayprint
import time:      1237 |      10801 |               numpy._core.numeric
import time:       781 |      11582 |             numpy._core.einsumfunc
import time:       832 |        832 |             numpy._core.function_base
import time:       807 |        807 |             numpy._core.getlimits
import time:      1389 |       1389 |             numpy._core.memmap
import time:       728 |        728 |             numpy._core.records
import time:      2383 |       2383 |               textwrap
import time:      6377 |       8759 |             numpy._core._add_newdocs
import time:       987 |        987 |             numpy._core._add_newdocs_scalars
import time:       541 |        541 |             numpy._core._dtype
import time:       515 |        515 |             numpy._core._dtype_ctypes
import time:      2841 |       2841 |                 _ctypes
import time:      1223 |       1223 |                 ctypes._endian
import time:      1615 |       5678 |               ctypes
import time:      1058 |       6735 |             numpy._core._internal
import time:       648 |        648 |             numpy._pytesttester
import time:      1063 |      76281 |           numpy._core
import time:       112 |      76393 |         numpy._core._multiarray_umath
import time:       599 |      76992 |       numpy.__config__
import time:        43 |         43 |             _typing
import time:      2944 |       2987 |           typing
import time:       845 |        845 |                         numpy._typing._nbit_base
import time:       607 |        607 |                         numpy._typing._nested_sequence
import time:       628 |        628 |                         numpy._typing._shape
import time:      1182 |       3261 |                       numpy._typing._array_like
import time:       635 |        635 |                       numpy._typing._char_codes
import time:      1380 |       1380 |                       numpy._typing._dtype_like
import time:      1127 |       1127 |                       numpy._typing._nbit
import time:       716 |        716 |                       numpy._typing._scalars
import time:       736 |        736 |                       numpy._typing._ufunc
import time:       678 |       8531 |                     numpy._typing
import time:       850 |        850 |                         numpy.lib._array_utils_impl
import time:       769 |       1619 |                       numpy.lib._stride_tricks_impl
import time:      1116 |       2734 |                     numpy.lib._twodim_base_impl
import time:       694 |        694 |                     numpy.lib.array_utils
import time:      1454 |       1454 |                     numpy.linalg._umath_linalg
import time:      3880 |      17291 |                   numpy.linalg._linalg
import time:       529 |      17820 |                 numpy.linalg
import time:       845 |      18665 |               numpy.matrixlib.defmatrix
import time:       521 |      19185 |             numpy.matrixlib
import time:       952 |        952 |               numpy.lib._histograms_impl
import time:      2198 |       3150 |             numpy.lib._function_base_impl
import time:      1190 |      23524 |           numpy.lib._index_tricks_impl
import time:       950 |      27461 |         numpy.lib._arraypad_impl
