backbone,variant,training_seed,threshold,hq_id,identity,location,missing_pixels,condition,full_face_lpips,effective_fp_fraction,effective_fn_fraction,hole_mae,hole_psnr,visible_mae,missed_mae,overcovered_mae,true_fraction,mask_fp_fraction,mask_fn_fraction
resshift,preservation_weighted,17,0.35,20832,4516,eye_center,1966,accurate,0.007136779837310314,0.0026397705078125,9.1552734375e-05,0.06377936154603958,20.621464354825022,0.00018044505850411952,,,0.029998779296875,0.0,0.0
resshift,preservation_weighted,17,0.35,20832,4516,eye_center,1966,under,0.008217762224376202,0.0024871826171875,9.1552734375e-05,0.07135564088821411,19.972613526231516,0.00014349466073326766,0.07423827797174454,,0.029998779296875,0.0,0.0059967041015625
resshift,preservation_weighted,17,0.35,20832,4516,eye_center,1966,over,0.005996060092002153,0.0024261474609375,6.103515625e-05,0.05971008911728859,20.89273270106979,0.00014597957488149405,,0.01780039258301258,0.029998779296875,0.0059967041015625,0.0
resshift,preservation_weighted,17,0.35,20832,4516,eye_center,1966,mixed,0.004835984669625759,0.0024261474609375,6.103515625e-05,0.05813853070139885,21.215644669606846,0.00013547437265515327,0.0593610443174839,0.015612658113241196,0.029998779296875,0.0059967041015625,0.0059967041015625
resshift,preservation_weighted,17,0.35,20832,4516,mouth_center,1966,accurate,0.012836460024118423,0.0014190673828125,0.0001373291015625,0.11253203451633453,16.899869701371895,6.885690527269617e-05,,,0.029998779296875,0.0,0.0
resshift,preservation_weighted,17,0.35,20832,4516,mouth_center,1966,under,0.007637934759259224,0.002044677734375,0.0001068115234375,0.0885372906923294,18.748619362219944,9.346302977064624e-05,0.07037115097045898,,0.029998779296875,0.0,0.0059967041015625
resshift,preservation_weighted,17,0.35,20832,4516,mouth_center,1966,over,0.009853138588368893,0.001556396484375,0.000152587890625,0.10861243307590485,17.234651938076514,7.335410919040442e-05,,0.010028534568846226,0.029998779296875,0.0059967041015625,0.0
resshift,preservation_weighted,17,0.35,20832,4516,mouth_center,1966,mixed,0.0075552198104560375,0.002044677734375,1.52587890625e-05,0.08424661308526993,18.925407960923536,8.475023787468672e-05,0.05694323778152466,0.011491107754409313,0.029998779296875,0.0059967041015625,0.0059967041015625
resshift,preservation_weighted,17,0.35,20832,4516,upper_image,1966,accurate,0.06450647860765457,0.001556396484375,0.0008544921875,0.2287464141845703,9.84460211420096,9.941575990524143e-05,,,0.029998779296875,0.0,0.0
resshift,preservation_weighted,17,0.35,20832,4516,upper_image,1966,under,0.04427381977438927,0.002288818359375,0.0003662109375,0.11740463227033615,15.207388975282765,0.0001404806098435074,0.19344663619995117,,0.029998779296875,0.0,0.0059967041015625
